month,pct,dementia_register,items,cost
2010-10-01,00C,1021,665,26670.659999999996
2018-11-01,00C,1021,786,4729.436960000001
2016-02-01,00C,1021,886,4927.32
2013-02-01,00C,1021,703,7829.170000000001
2010-09-01,00C,1021,678,26955.639999999996
2018-12-01,00C,1021,820,4637.3232
2011-09-01,00C,1021,743,29758.220000000012
2013-10-01,00C,1021,828,7709.090000000006
2018-10-01,00C,1021,881,5363.48552
2015-11-01,00C,1021,741,4581.050000000001
2010-12-01,00C,1021,705,29431.55999999999
2013-09-01,00C,1021,731,7612.720000000002
2015-12-01,00C,1021,897,5712.75
2017-06-01,00C,1021,852,4527.21516
2013-03-01,00C,1021,735,8467.610000000002
2012-07-01,00C,1021,725,12260.619999999999
2015-01-01,00C,1021,788,5869.489999999999
2015-05-01,00C,1021,764,4751.090000000001
2012-06-01,00C,1021,722,24075.969999999998
2014-12-01,00C,1021,888,6341.110000000001
2012-05-01,00C,1021,772,31109.110000000015
2011-07-01,00C,1021,660,26907.640000000003
2012-02-01,00C,1021,714,29333.279999999988
2018-04-01,00C,1021,804,4930.49296
2012-01-01,00C,1021,716,28187.34000000001
2012-08-01,00C,1021,775,11313.869999999997
2015-08-01,00C,1021,752,4588.19
2010-11-01,00C,1021,672,25682.8
2014-10-01,00C,1021,830,6120.88
2015-04-01,00C,1021,778,5380.3899999999985
2019-01-01,00C,1021,849,4770.95235
2011-01-01,00C,1021,606,25444.209999999995
2016-12-01,00C,1021,833,5052.89
2011-11-01,00C,1021,752,31503.100000000006
2016-04-01,00C,1021,846,5338.130000000001
2017-10-01,00C,1021,932,4832.012409999999
2014-11-01,00C,1021,759,5867.899999999999
2012-09-01,00C,1021,764,11129.149999999994
2011-06-01,00C,1021,718,28115.91
2017-01-01,00C,1021,859,4819.389880000001
2017-07-01,00C,1021,896,5003.58656
2012-03-01,00C,1021,733,28051.36
2011-04-01,00C,1021,623,24311.979999999996
2014-09-01,00C,1021,758,5936.260000000002
2017-09-01,00C,1021,804,4308.23135
2011-10-01,00C,1021,676,27299.23000000001
2018-07-01,00C,1021,813,4622.00242
2012-10-01,00C,1021,765,9298.160000000002
2013-07-01,00C,1021,866,8366.18
2014-02-01,00C,1021,669,6093.23
2016-03-01,00C,1021,770,5217.59
2017-11-01,00C,1021,861,4703.531940000001
2018-05-01,00C,1021,885,5459.07618
2015-02-01,00C,1021,710,4389.43
2013-06-01,00C,1021,725,6943.3499999999985
2012-11-01,00C,1021,776,9914.529999999995
2018-08-01,00C,1021,894,5238.1612000000005
2018-03-01,00C,1021,870,4955.34379
2016-05-01,00C,1021,744,4574.23
2015-09-01,00C,1021,819,5301.13
2018-06-01,00C,1021,821,4885.824479999999
2016-07-01,00C,1021,808,5775.380000000001
2016-09-01,00C,1021,863,4434.63
