month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2019-04-01,01Y,C81106,Levothyrox Sod_Tab 100mcg,1,11.49591,336
2019-04-01,01Y,P89030,Levothyrox Sod_Tab 25mcg,1,18.18533,336
2018-11-01,01Y,P89003,Levothyrox Sod_Tab 25mcg,1,18.93832,336
2018-10-01,01Y,P89030,Levothyrox Sod_Tab 50mcg,1,12.26179,336
2019-05-01,01Y,C81106,Levothyrox Sod_Tab 50mcg,1,12.44712,364
2019-02-01,01Y,C81106,Levothyrox Sod_Tab 50mcg,1,10.93297,336
2019-06-01,01Y,C81106,Levothyrox Sod_Tab 25mcg,1,18.19008,336
2018-08-01,01Y,C81106,Atorvastatin_Tab 10mg,1,8.58485,364
2019-07-01,01Y,C81106,Levothyrox Sod_Tab 50mcg,1,12.942680000000001,364
2018-12-01,01Y,C81106,Levothyrox Sod_Tab 50mcg,1,12.19942,364
2019-04-01,01Y,C81106,Amlodipine_Tab 5mg,1,7.928210000000001,336
2019-04-01,01Y,C81106,Atorvastatin_Tab 20mg,1,9.04312,336
2019-04-01,01Y,C81106,Levothyrox Sod_Tab 50mcg,2,22.99181,336
2019-04-01,01Y,P89005,Levothyrox Sod_Tab 25mcg,1,18.18533,336
2019-04-01,01Y,P89005,Levothyrox Sod_Tab 100mcg,1,11.49591,336
2018-09-01,01Y,P89030,Levothyrox Sod_Tab 25mcg,1,22.168689999999998,336
2018-10-01,01Y,P89005,Levothyrox Sod_Tab 50mcg,1,18.38649,504
2019-03-01,01Y,C81106,Levothyrox Sod_Tab 50mcg,1,10.93811,336
2019-05-01,01Y,C81106,Amlodipine_Tab 5mg,1,8.583910000000001,364
2019-05-01,01Y,P89005,Levothyrox Sod_Tab 50mcg,1,17.22971,504
2019-02-01,01Y,P89030,Levothyrox Sod_Tab 25mcg,1,17.28473,336
2019-06-01,01Y,P89030,Levothyrox Sod_Tab 25mcg,1,18.19008,336
2019-07-01,01Y,C81106,Atorvastatin_Tab 20mg,1,10.28412,364
2019-07-01,01Y,C81106,Levothyrox Sod_Tab 100mcg,1,11.94805,336
2018-12-01,01Y,P89030,Levothyrox Sod_Tab 25mcg,1,18.9473,336
2019-04-01,01Y,P89003,Levothyrox Sod_Tab 25mcg,1,18.18533,336
2019-05-01,01Y,C81106,Levothyrox Sod_Tab 25mcg,1,18.17694,336
2019-02-01,01Y,C81106,Levothyrox Sod_Tab 100mcg,1,10.821539999999999,336
2019-01-01,01Y,C81106,Ramipril_Cap 1.25mg,1,9.70226,336
2019-06-01,01Y,C81106,Amlodipine_Tab 5mg,1,7.930280000000001,336
2019-06-01,01Y,C81106,Levothyrox Sod_Tab 50mcg,1,11.49891,336
2019-06-01,01Y,C81106,Levothyrox Sod_Tab 100mcg,1,11.49891,336
2019-06-01,01Y,P89003,Levothyrox Sod_Tab 25mcg,1,18.19008,336
