month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2018-12-01,04F,K82067,Atorvastatin_Tab 10mg,1,8.59598,400
2019-04-01,04F,K82013,Levothyrox Sod_Tab 25mcg,1,29.32287,540
2019-04-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,11.49591,336
2018-11-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,11.25662,336
2018-10-01,04F,K82039,Levothyrox Sod_Tab 25mcg,1,21.059089999999998,336
2019-03-01,04F,K82617,Levothyrox Sod_Tab 100mcg,1,10.82662,336
2019-05-01,04F,K82076,Amlodipine_Tab 10mg,1,13.206470000000001,556
2019-01-01,04F,K82025,Levothyrox Sod_Tab 100mcg,1,10.81604,336
2019-06-01,04F,K82013,Levothyrox Sod_Tab 25mcg,1,18.19008,336
2019-06-01,04F,K82039,Simvastatin_Tab 40mg,2,32.97435,567
2018-08-01,04F,K82025,Levothyrox Sod_Tab 100mcg,1,12.38348,336
2018-12-01,04F,K82003,Atorvastatin_Tab 20mg,1,8.70018,336
2018-12-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,11.26196,336
2018-11-01,04F,K82013,Levothyrox Sod_Tab 25mcg,1,30.533040000000003,540
2018-09-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,18.38319,504
2018-10-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,12.26179,336
2019-03-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,10.93811,336
2019-05-01,04F,K82015,Levothyrox Sod_Tab 25mcg,1,18.17694,336
2019-05-01,04F,K82039,Levothyrox Sod_Tab 25mcg,1,18.17694,336
2019-02-01,04F,K82076,Ramipril_Cap 2.5mg,1,12.58377,400
2019-02-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,16.39326,504
2019-01-01,04F,K82013,Levothyrox Sod_Tab 25mcg,1,27.854740000000003,540
2019-01-01,04F,K82016,Levothyrox Sod_Tab 100mcg,1,11.6864,360
2018-08-01,04F,K82013,Levothyrox Sod_Tab 25mcg,1,22.19119,336
2018-08-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,12.27203,336
2018-09-01,04F,K82016,Levothyrox Sod_Tab 100mcg,1,13.352360000000001,360
2019-02-01,04F,K82013,Levothyrox Sod_Tab 25mcg,1,17.28473,336
2019-01-01,04F,K82039,Levothyrox Sod_Tab 25mcg,1,17.27595,336
2019-06-01,04F,K82016,Levothyrox Sod_Tab 100mcg,1,12.41672,360
2019-06-01,04F,K82617,Levothyrox Sod_Tab 50mcg,1,11.49891,336
