month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2019-07-01,05W,M83021,Ramipril_Cap 10mg,1,10.83257,336
2018-12-01,05W,M83068,Levothyrox Sod_Tab 25mcg,1,18.9473,336
2018-12-01,05W,M83601,Levothyrox Sod_Tab 25mcg,1,18.9473,336
2018-11-01,05W,M83061,Levothyrox Sod_Tab 50mcg,1,12.16376,360
2018-09-01,05W,M83601,Levothyrox Sod_Tab 25mcg,1,22.168689999999998,336
2019-03-01,05W,M83601,Levothyrox Sod_Tab 25mcg,1,17.29286,336
2019-02-01,05W,M83061,Levothyrox Sod_Tab 50mcg,1,11.81301,360
2019-05-01,05W,M83601,Levothyrox Sod_Tab 25mcg,1,18.17694,336
2019-06-01,05W,M83021,Ramipril_Cap 5mg,1,11.49891,336
2019-06-01,05W,M83068,Levothyrox Sod_Tab 25mcg,1,18.19008,336
2019-07-01,05W,M83601,Levothyrox Sod_Tab 25mcg,1,17.30236,336
2018-12-01,05W,M83061,Levothyrox Sod_Tab 50mcg,1,12.16947,360
2018-11-01,05W,M83061,Levothyrox Sod_Tab 25mcg,1,22.64724,400
2018-09-01,05W,M83061,Levothyrox Sod_Tab 50mcg,1,13.23175,360
2019-06-01,05W,M83061,Levothyrox Sod_Tab 50mcg,1,12.41672,360
