month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2019-07-01,06H,D81001,Levothyrox Sod_Tab 100mcg,1,12.942680000000001,364
2019-07-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,11.94805,336
2019-04-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,11.49591,336
2018-11-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,11.03397,336
2018-09-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,12.37093,336
2019-02-01,06H,D81003,Levothyrox Sod_Tab 50mcg,1,11.84302,364
2019-01-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,10.81604,336
2019-06-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,11.49891,336
2018-12-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,11.03919,336
2018-10-01,06H,D81004,Levothyrox Sod_Tab 100mcg,1,14.043520000000001,392
2018-10-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,12.03908,336
2019-05-01,06H,D81002,Levothyrox Sod_Tab 25mcg,1,19.69065,364
2019-05-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,11.4906,336
2019-01-01,06H,D81022,Levothyrox Sod_Tab 100mcg,1,27.0215,840
2018-08-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,12.38348,336
2019-04-01,06H,D81054,Levothyrox Sod_Tab 50mcg,1,17.1983,500
2018-09-01,06H,D81009,Levothyrox Sod_Tab 25mcg,1,31.400479999999998,476
2018-09-01,06H,D81003,Levothyrox Sod_Tab 50mcg,1,13.2802,364
2019-03-01,06H,D81016,Levothyrox Sod_Tab 25mcg,1,17.29286,336
2019-03-01,06H,D81031,Levothyrox Sod_Tab 100mcg,1,10.82662,336
2019-03-01,06H,D81066,Levothyrox Sod_Tab 100mcg,1,16.20366,500
2019-01-01,06H,D81022,Levothyrox Sod_Tab 25mcg,1,43.17127,840
2019-06-01,06H,D81003,Levothyrox Sod_Tab 50mcg,1,12.45612,364
