month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2019-07-01,06Q,F81074,Levothyrox Sod_Tab 50mcg,1,74.61019,2100
2018-09-01,06Q,F81035,Levothyrox Sod_Tab 50mcg,1,19.355339999999998,528
2018-10-01,06Q,F81071,Levothyrox Sod_Tab 25mcg,1,41.5861,448
2019-05-01,06Q,F81024,Levothyrox Sod_Tab 25mcg,1,18.17694,336
2018-12-01,06Q,F81071,Levothyrox Sod_Tab 25mcg,1,18.9473,336
2019-01-01,06Q,F81024,Levothyrox Sod_Tab 25mcg,1,17.27595,336
2019-06-01,06Q,F81071,Levothyrox Sod_Tab 25mcg,1,18.19008,336
2018-10-01,06Q,F81071,Levothyrox Sod_Tab 25mcg,1,21.059089999999998,336
2018-10-01,06Q,F81024,Levothyrox Sod_Tab 25mcg,1,21.059089999999998,336
2019-05-01,06Q,F81071,Levothyrox Sod_Cap 25mcg,1,2409.8780899999997,420
