month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2018-09-01,07V,H83625,Amlodipine_Tab 5mg,1,12.14826,336
2019-02-01,07V,H83005,Levothyrox Sod_Tab 75mcg,1,32.969120000000004,364
2019-01-01,07V,H83037,Levothyrox Sod_Tab 25mcg,1,17.27595,336
2019-06-01,07V,H83052,Levothyrox Sod_Tab 25mcg,1,18.19008,336
2018-08-01,07V,H83037,Levothyrox Sod_Tab 25mcg,1,22.19119,336
2019-07-01,07V,H83037,Levothyrox Sod_Tab 25mcg,1,17.30236,336
2019-04-01,07V,H83037,Levothyrox Sod_Tab 25mcg,1,18.18533,336
2018-11-01,07V,H83037,Levothyrox Sod_Tab 25mcg,1,18.93832,336
2018-09-01,07V,H83018,Levothyrox Sod_Tab 25mcg,1,22.168689999999998,336
2019-02-01,07V,H83005,Levothyrox Sod_Tab 100mcg,1,11.7223,364
2019-02-01,07V,H83037,Levothyrox Sod_Tab 25mcg,1,17.28473,336
2019-06-01,07V,H83052,Levothyrox Sod_Tab 50mcg,1,11.49891,336
