month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2018-08-01,08P,H84005,Levothyrox Sod_Tab 25mcg,1,39.71472,600
2018-10-01,08P,H84014,Levothyrox Sod_Tab 100mcg,1,13.0021,360
2019-05-01,08P,H84014,Levothyrox Sod_Tab 100mcg,1,12.40782,360
2018-09-01,08P,H84005,Levothyrox Sod_Tab 25mcg,1,39.67456,600
2019-05-01,08P,H84023,Levothyrox Sod_Tab 100mcg,1,11.4906,336
2018-08-01,08P,H84014,Levothyrox Sod_Tab 100mcg,1,13.3658,360
2019-07-01,08P,H84014,Levothyrox Sod_Tab 100mcg,1,12.90325,360
2018-12-01,08P,H84014,Levothyrox Sod_Tab 100mcg,1,11.92815,360
2018-11-01,08P,H84040,Atorvastatin_Tab 10mg,1,8.59196,400
2019-05-01,08P,H84023,Levothyrox Sod_Tab 50mcg,1,11.4906,336
2019-02-01,08P,H84014,Levothyrox Sod_Tab 100mcg,1,11.69229,360
