month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2018-08-01,10K,J82215,Amlodipine_Tab 5mg,1,12.16058,336
2018-12-01,10K,J82154,Levothyrox Sod_Tab 100mcg,1,11.03919,336
2019-03-01,10K,J82006,Levothyrox Sod_Tab 100mcg,1,10.82662,336
2019-02-01,10K,J82083,Levothyrox Sod_Tab 50mcg,1,10.93297,336
2018-08-01,10K,J82083,Levothyrox Sod_Tab 50mcg,1,12.27203,336
2018-11-01,10K,J82216,Levothyrox Sod_Tab 100mcg,1,13.23066,400
2018-10-01,10K,J82174,Simvastatin_Tab 20mg,1,8.2529,336
2018-10-01,10K,J82083,Levothyrox Sod_Tab 50mcg,1,12.26179,336
2019-06-01,10K,J82083,Levothyrox Sod_Tab 50mcg,1,11.49891,336
2019-07-01,10K,J82216,Levothyrox Sod_Tab 100mcg,1,14.32549,400
2018-10-01,10K,J82083,Levothyrox Sod_Tab 25mcg,1,31.43187,500
2019-03-01,10K,J82083,Levothyrox Sod_Tab 25mcg,1,25.828689999999998,500
2019-03-01,10K,J82083,Levothyrox Sod_Tab 50mcg,1,10.93811,336
2019-03-01,10K,J82216,Levothyrox Sod_Tab 100mcg,1,12.989130000000001,400
2019-06-01,10K,J82083,Levothyrox Sod_Tab 25mcg,1,27.16517,500
