month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2019-07-01,10R,J82085,Atorvastatin_Tab 20mg,1,9.49399,336
2019-07-01,10R,J82090,Levothyrox Sod_Tab 100mcg,1,11.94805,336
2018-12-01,10R,J82090,Levothyrox Sod_Tab 100mcg,1,11.03919,336
2019-04-01,10R,J82090,Levothyrox Sod_Tab 100mcg,1,11.49591,336
2018-11-01,10R,J82060,Levothyrox Sod_Tab 25mcg,1,18.93832,336
2018-11-01,10R,J82090,Levothyrox Sod_Tab 50mcg,1,16.87874,504
2018-11-01,10R,J82090,Levothyrox Sod_Tab 100mcg,3,33.1019,336
2018-09-01,10R,J82028,Atorvastatin_Tab Chble 20mg S/F,1,274.4496,336
2019-03-01,10R,J82090,Levothyrox Sod_Tab 50mcg,1,16.40096,504
2019-02-01,10R,J82090,Levothyrox Sod_Tab 100mcg,1,10.821539999999999,336
2019-01-01,10R,J82060,Levothyrox Sod_Tab 25mcg,1,17.27595,336
2019-01-01,10R,J82114,Ramipril_Cap 5mg,1,8.92262,336
2019-06-01,10R,J82060,Levothyrox Sod_Tab 25mcg,1,18.19008,336
2019-06-01,10R,J82090,Ramipril_Cap 2.5mg,1,12.279539999999999,336
2018-08-01,10R,J82114,Levothyrox Sod_Tab 25mcg,1,33.12053,500
2018-08-01,10R,J82028,Levothyrox Sod_Tab 100mcg,1,12.38348,336
2019-07-01,10R,J82117,Levothyrox Sod_Tab 100mcg,1,11.94805,336
2018-12-01,10R,J82165,Simvastatin_Tab 40mg,1,8.922939999999999,336
2019-04-01,10R,J82028,Ramipril_Cap 5mg,1,11.49591,336
2018-11-01,10R,J82090,Levothyrox Sod_Tab 50mcg,1,11.25662,336
2018-09-01,10R,J82090,Levothyrox Sod_Tab 100mcg,1,12.37093,336
2018-10-01,10R,J82028,Ramipril_Cap 5mg,1,10.81414,336
2018-10-01,10R,J82114,Ramipril_Cap 5mg,1,10.81414,336
2018-10-01,10R,J82090,Levothyrox Sod_Tab 50mcg,1,12.26179,336
2019-03-01,10R,J82028,Levothyrox Sod_Tab 100mcg,1,10.82662,336
2019-03-01,10R,J82090,Levothyrox Sod_Tab 50mcg,1,10.93811,336
2019-03-01,10R,J82114,Levothyrox Sod_Tab 50mcg,1,11.81852,360
2019-03-01,10R,J82117,Ramipril_Cap 5mg,1,8.93135,336
2019-03-01,10R,J82155,Levothyrox Sod_Tab 25mcg,1,17.29286,336
2019-07-01,10R,J82114,Levothyrox Sod_Tab 50mcg,1,12.90325,360
2018-12-01,10R,J82117,Levothyrox Sod_Tab 100mcg,1,11.03919,336
2019-04-01,10R,J82114,Levothyrox Sod_Tab 50mcg,1,12.4135,360
2018-11-01,10R,J82114,Levothyrox Sod_Tab 50mcg,1,12.16376,360
2019-03-01,10R,J82114,Levothyrox Sod_Tab 100mcg,1,16.20366,500
2019-05-01,10R,J82090,Levothyrox Sod_Tab 100mcg,1,11.4906,336
