id,vpiddt,vpidprev,vtm,invalid,nm,abbrevnm,basis,nmdt,nmprev,basis_prev,nmchange,combprod,pres_stat,sug_f,glu_f,pres_f,cfc_f,non_avail,non_availdt,df_ind,udfs,udfs_uom,unit_dose_uom,bnf_code
8797911000001107,,,48603004,False,Warfarin 10mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAVAV
8798011000001109,,,48603004,False,Warfarin 10mg/5ml oral suspension,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAVAV
8798511000001101,,,48603004,False,Warfarin 3mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAMAM
8798611000001102,,,48603004,False,Warfarin 3mg/5ml oral suspension,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAMAM
8798711000001106,,,48603004,False,Warfarin 5mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAIAI
8798811000001103,,,48603004,False,Warfarin 5mg/5ml oral suspension,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAIAI
8798111000001105,,,48603004,False,Warfarin 1mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAANAN
8798211000001104,,,48603004,False,Warfarin 1mg/5ml oral suspension,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAANAN
8798311000001107,,,48603004,False,Warfarin 2mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAJAJ
8798411000001100,,,48603004,False,Warfarin 2mg/5ml oral suspension,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAJAJ
13016611000001102,,,48603004,False,Warfarin 1.5mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAARAR
13016711000001106,,,48603004,False,Warfarin 100micrograms/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAATAT
13016811000001103,,,48603004,False,Warfarin 2.5mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAUAU
13016911000001108,,,48603004,False,Warfarin 25mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAKAK
13017011000001107,,,48603004,False,Warfarin 4.16mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAPAP
13017111000001108,,,48603004,False,Warfarin 4mg/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAWAW
13017211000001102,,,48603004,False,Warfarin 500micrograms/5ml oral solution,,1,,,,,,1,False,False,False,False,,,2,,,,0208020V0AAAXAX
