nm,pres_stat,bnf_code
Generic CoQun ophthalmic solution,4,
Neocate Active powder 63g sachets,1,
Tioguanine 50mg/5ml oral suspension,1,
Generic Steritalc F2 vials,4,
Lidocaine 2% solution,1,
Lactic acid 5% in Hydrous ointment,1,
Resorcinol 50% in Glycerol,1,
Thymol 4% in Chloroform solution,1,
Naproxen 60mg/5ml oral suspension,1,1001010P0AABHBH
Soft silicone wound contact dressing with polyurethane foam film backing sterile 17.5cm x 17.5cm,4,
Cavity dressing 3cm x 30cm,4,
Salicylic acid 10% ointment,1,
Sea water nasal spray,4,
Oxygen,1,
Elasticated viscose stockinette gloves small child,4,
Generic Ora-Sweet SF oral solution,4,
Ephedrine hydrochloride powder,1,
Lymphoedema garments made to measure body bandage,4,
Spacer/holding chamber device,4,
Hydrogel sheet with adhesive border 10cm x 10cm square,4,
Plaster of Paris bandage BP 1988 15cm,2,
Activated charcoal absorbent dressing 10cm x 15cm,4,
Ethyl chloride spray,2,
Generic Tentrini Energy Multifibre liquid,4,
Low protein pasta,4,
Eye drop dispenser,4,
Alginate dressing sterile 5cm x 5cm,4,
Urine protein testing strips,4,
Generic Fresubin 2kcal HP liquid,4,
Chlorhexidine gauze dressing BP 15cm x 20cm,2,
Sodium hyaluronate lotion,9,
Generic Konix gel,4,
Generic Blefarette Med eyelid wipes,4,
Lancets sterile single use 0.28mm/30gauge,4,
Generic UrgoStart plus dressing 6cm x 6cm square,4,
Generic UrgoStart plus dressing 10cm x 10cm square,4,
Generic UrgoStart plus dressing 15cm x 20cm rectangular,4,
Generic Fresubin 2kcal HP Fibre liquid,4,
Anastrozole 1mg/5ml oral solution,1,
Hydroxycarbamide 500mg/5ml oral solution sugar free,1,
Generic Remedy moisturiser,4,
Naproxen 320mg/5ml oral suspension,1,1001010P0AABIBI
Lymphoedema garments adjustable thigh length,4,
Soft silicone wound contact dressing with polyurethane foam film backing sterile and silicone adhesive border 18cm x 21cm oval,4,
Generic UrgoClean Pad dressing 15cm x 15cm square,4,
Generic VisuXL eye drops 0.33ml unit dose preservative free,4,
Generic Nutrison Protein Intense liquid,4,
Generic Nutilis Complete Drink Level 2 liquid,4,
Glibenclamide 600micrograms/ml oral suspension sugar free,1,
Glibenclamide 6mg/ml oral suspension sugar free,1,
Melatonin 1mg/ml oral solution sugar free,1,
Magnesium glycerophosphate (magnesium 97.2mg/5ml (4mmol/5ml)) oral solution sugar free,1,
Chlormethine 160micrograms/g gel,1,
Elasticated viscose stockinette impregnated with antimicrobial agents clava 6 months-5 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents clava 5-14 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents mittens 0-24 months,4,
Elasticated viscose stockinette impregnated with antimicrobial agents mittens 2-8 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents mittens 8-14 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents socks 6 months-8 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents socks 8-14 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents legs 6-24 months,4,
Elasticated viscose stockinette impregnated with antimicrobial agents legs 2-5 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents legs 5-8 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents legs 8-11 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents legs 11-14 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents tops 6-24 months,4,
Elasticated viscose stockinette impregnated with antimicrobial agents tops 2-5 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents tops 5-8 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents tops 8-11 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents tops 11-14 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents tops adult,4,
Elasticated viscose stockinette impregnated with antimicrobial agents legs adult,4,
Elasticated viscose stockinette impregnated with antimicrobial agents babygrow 0-3 months,4,
Elasticated viscose stockinette impregnated with antimicrobial agents babygrow 3-6 months,4,
Elasticated viscose stockinette impregnated with antimicrobial agents babygrow 6-12 months,4,
Elasticated viscose stockinette impregnated with antimicrobial agents child gloves,4,
Elasticated viscose stockinette impregnated with antimicrobial agents adult gloves,4,
Elasticated viscose stockinette impregnated with antimicrobial agents adult dermasock,4,
Elasticated viscose stockinette impregnated with antimicrobial agents child dermasock,4,
Elasticated viscose stockinette impregnated with antimicrobial agents shorts 6-24 months,4,
Elasticated viscose stockinette impregnated with antimicrobial agents shorts 2-5 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents shorts 5-8 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents shorts 8-11 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents shorts 11-14 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents vest 6-24 months,4,
Elasticated viscose stockinette impregnated with antimicrobial agents vest 2-5 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents vest 5-8 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents vest 8-11 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents vest 11-14 years,4,
Elasticated viscose stockinette impregnated with antimicrobial agents adult shorts,4,
Elasticated viscose stockinette impregnated with antimicrobial agents adult vest,4,
Elasticated viscose stockinette impregnated with antimicrobial agents tubules,4,
Generic Zorflex LA dressing 10.5cm x 10.5cm square,4,
Generic Zorflex LA dressing 15cm x 25cm rectangular,4,
Generic Zorflex LA dressing 20cm x 10cm rectangular,4,
Sodium hyaluronate 0.25% eye drops,9,
Generic LINC Pure Gel,4,
Limb protectors adult elbow,4,
Limb protectors child arm,4,
Limb protectors child leg,4,
Limb protectors child elbow,4,
Generic KreaMol A cream,4,
Topiramate 50mg/5ml oral suspension sugar free,1,040801050AACGCG
Generic Aymes ActaGain 2.4 Complete Maxi liquid,4,090402000BDAPA0
Generic Caya diaphragm gel,4,
Generic Caya contoured diaphragm,4,
Generic Epaderm Junior cream,4,
Sodium chloride 0.9% catheter maintenance solution pre-filled syringes,1,
Tretinoin 0.1% gel,1,1306010V0AAAPAP
Trypan blue 0.1%/1ml ophthalmic solution vials,2,
Generic GlucoRx Torq oral gel,4,
Generic Carolon compression sleeve small,4,
Generic Carolon compression wrap 10cm x 185cm,4,
Generic Carolon velcro fastener,4,
Generic Carolon compression sleeve medium,4,
Generic Carolon compression wrap 10cm x 245cm,4,
Generic Carolon compression sleeve large,4,
Generic Carolon compression wrap 10cm x 300cm,4,
Generic Carolon compression sleeve extra large,4,
Generic Carolon compression wrap 10cm x 345cm,4,
Pyrazinamide 500mg/5ml oral suspension sugar free,1,
Generic Aymes Shake Smoothie powder 66g sachets,4,
Sorbitol 150mg/5ml oral solution,1,
Generic Aymes Savoury powder 57g sachets,4,
Generic Flamigel RT gel,4,
Sodium chloride 6% inhalation solution 4ml vials,1,
Generic Aymes Shake Compact powder 57g sachets,4,
Sodium hyaluronate 30mg / Sodium chondroitin sulfate 40mg ophthalmic viscosurgical device 0.5ml pre-filled syringes,2,
Sodium hyaluronate 30mg / Sodium chondroitin sulfate 40mg ophthalmic viscosurgical device 0.75ml pre-filled syringes,2,
Generic Cryotag skin tag remover spray,4,
Generic DLT Phenol Swab-it,4,
Iodine 2% in Industrial methylated spirit 70% solution,1,
Generic Promin low protein burger mix 62g sachets,4,
Generic Promin low protein pasta in sauce sachets,4,
Morphine sulfate 2.5mg/5ml oral solution,1,
Generic Aymes Shake Extra powder 85g sachets,4,
Generic Viscoat ophthalmic viscosurgical device 0.35ml pre-filled syringes,4,
Sodium hyaluronate 1% ophthalmic viscosurgical device 0.4ml pre-filled syringes,2,
Generic DuoVisc ophthalmic viscosurgical device 0.4ml pre-filled syringes and 0.35ml pre-filled syringes,4,
Cohesive bandage 5cm x 4.5m,2,
Sterile water inhalation solution 2litre bags,2,
Generic PoxClin CoolMousse,4,
Generic PKU express 20 powder 34g sachets,4,
Generic Epimax Oatmeal cream,4,
Trisodium citrate 46.7% catheter lock solution 5ml vials,2,
Trisodium citrate 30% catheter lock solution for injection 2.5ml pre-filled syringes,2,
Trisodium citrate 46.7% catheter lock solution for injection 2.5ml pre-filled syringes,2,
Generic Amvisc Plus 1.6% solution for intracameral injection 0.8ml pre-filled syringes,4,
Sodium chloride 3% inhalation solution 4ml vials,1,
Sodium hyaluronate 1% ophthalmic viscosurgical device 1ml pre-filled syringes,2,
Sodium hyaluronate 1% ophthalmic viscosurgical device 0.85ml pre-filled syringes,2,
Sodium hyaluronate 1% ophthalmic viscosurgical device 0.55ml pre-filled syringes,2,
Sodium hyaluronate 1.4% ophthalmic viscosurgical device 0.55ml pre-filled syringes,2,
Sodium hyaluronate 1.4% ophthalmic viscosurgical device 0.85ml pre-filled syringes,2,
Sodium hyaluronate 3% ophthalmic viscosurgical device 0.85ml pre-filled syringes,2,
Sodium hyaluronate 2% ophthalmic viscosurgical device 1ml pre-filled syringes,2,
Generic Clyssie 120ml enema,4,
Generic Thick & Easy powder,4,
