month,pct,items_more_than_two,all_items,items_percent_more_than_two
2018-08-01,07Y,254,4565,5.564074479737131
2018-05-01,07Y,262,5187,5.051089261615577
2018-07-01,07Y,259,5156,5.023273855702095
2019-01-01,07Y,277,5634,4.9165779197728074
2017-12-01,07Y,302,6226,4.850626405396723
2017-09-01,99C,353,7360,4.796195652173913
2018-09-01,07Y,234,4888,4.787234042553192
2018-10-01,07Y,261,5455,4.784601283226398
2017-10-01,07Y,293,6202,4.72428248951951
2018-06-01,07Y,246,5217,4.7153536515238645
2018-12-01,07Y,254,5416,4.689807976366322
2018-11-01,07Y,248,5337,4.646805321341577
2017-05-01,08C,170,3676,4.624591947769314
2017-04-01,99C,313,6839,4.576692498903348
2018-02-01,07Y,239,5233,4.567169883432066
2018-06-01,99C,319,6997,4.559096755752465
2017-11-01,99C,338,7421,4.554642231505188
2017-07-01,99C,327,7196,4.544191217342968
2018-03-01,07Y,246,5433,4.527885146327995
2017-07-01,08H,251,5552,4.520893371757925
2017-08-01,08H,227,5078,4.470263883418669
2017-03-01,99C,346,7810,4.430217669654289
2017-01-01,99C,335,7566,4.427702881311129
2018-08-01,99C,313,7075,4.424028268551237
2018-03-01,99C,319,7239,4.406686006354469
2018-03-01,05X,260,5912,4.397834912043302
2017-08-01,07R,181,4123,4.3900072762551545
2017-11-01,05X,269,6166,4.362633798248459
2017-10-01,08H,247,5662,4.3624161073825505
2018-01-01,99C,337,7740,4.354005167958657
2018-09-01,99C,302,6938,4.352839434995676
2017-12-01,99C,343,7962,4.307962823411203
2017-06-01,99C,330,7698,4.286827747466875
2017-06-01,08C,151,3525,4.283687943262411
2017-04-01,07Y,252,5888,4.279891304347826
2019-05-01,07Y,209,4896,4.268790849673203
2017-09-01,08H,233,5461,4.266617835561252
2017-10-01,99C,313,7351,4.257924091960278
2017-01-01,05X,258,6085,4.239934264585045
2018-11-01,99C,312,7376,4.229934924078091
2018-04-01,99C,282,6685,4.218399401645475
2017-07-01,05X,246,5833,4.217383850505743
2018-04-01,07Y,218,5174,4.213374565133359
2017-06-01,07Y,259,6158,4.2059110100682044
2019-07-01,07Y,210,4993,4.205888243540958
2018-02-01,99C,276,6563,4.2053938747524
2017-06-01,05X,261,6244,4.1800128122998075
2017-11-01,08C,155,3717,4.170029593758407
2018-06-01,07R,188,4527,4.1528606140932185
2018-12-01,08H,232,5619,4.12884854956398
2017-11-01,08H,252,6110,4.124386252045826
2018-03-01,08C,145,3521,4.11814825333712
2018-08-01,08H,213,5175,4.115942028985507
2017-08-01,08C,131,3190,4.106583072100314
2017-06-01,08H,229,5578,4.105414126927214
2017-08-01,99C,297,7237,4.103910460135415
2017-11-01,07Y,256,6239,4.103221670139446
2017-02-01,99C,283,6899,4.102043774460067
2017-10-01,08C,150,3657,4.1017227235438884
2018-09-01,08H,215,5248,4.096798780487805
2017-02-01,08C,135,3301,4.089669797031203
2017-12-01,08H,242,5919,4.088528467646562
2017-10-01,07R,189,4625,4.0864864864864865
2017-03-01,07Y,282,6910,4.081041968162084
2018-07-01,08H,234,5734,4.080920823160097
2017-04-01,05X,221,5445,4.058769513314968
2017-02-01,08H,216,5323,4.0578621078339285
2017-07-01,08C,137,3379,4.054453980467594
2019-01-01,99C,310,7646,4.054407533350771
2017-09-01,05X,237,5846,4.054054054054054
2018-02-01,08H,206,5091,4.046356315065802
2017-03-01,08H,239,5923,4.035117339186224
2017-01-01,08H,245,6079,4.030268136206613
2019-05-01,08H,236,5863,4.025243049633294
2017-03-01,05X,254,6317,4.020895994934304
2017-09-01,08C,139,3469,4.006918420294033
2017-02-01,05X,226,5641,4.006381847190214
2018-03-01,07R,181,4525,4.0
2017-01-01,07Y,274,6851,3.9994161436286673
2018-10-01,99C,300,7540,3.978779840848806
2017-08-01,07Y,223,5606,3.977880841955048
2018-05-01,99C,289,7270,3.975240715268226
2018-05-01,05X,228,5741,3.971433548162341
2017-05-01,07Y,257,6481,3.9654374324949853
2019-04-01,07Y,193,4870,3.963039014373717
2017-05-01,99C,293,7399,3.9599945938640357
2018-01-01,05X,253,6397,3.9549788963576678
2019-06-01,07Y,188,4754,3.954564577198149
2018-06-01,05X,228,5768,3.952843273231623
2017-08-01,05X,227,5746,3.950574312565263
2017-05-01,08H,225,5704,3.944600280504909
2018-10-01,08H,233,5917,3.937806320770661
2019-01-01,08H,242,6157,3.930485626116615
2019-02-01,07Y,191,4867,3.924388740497226
2017-03-01,09A,138,3517,3.923798692067103
2018-07-01,08C,139,3544,3.922121896162528
2017-05-01,07Q,275,7019,3.917937028066676
2017-05-01,05X,237,6054,3.914767096134787
2019-02-01,99C,268,6848,3.9135514018691584
2018-01-01,07Y,246,6295,3.907863383637808
2017-04-01,08H,204,5225,3.9043062200956937
2017-07-01,07Y,230,5894,3.902273498473023
2018-08-01,08C,126,3240,3.888888888888889
2017-07-01,07R,175,4501,3.8880248833592534
2018-04-01,08H,210,5409,3.882418191902385
2017-06-01,07Q,265,6837,3.875968992248062
2018-09-01,05X,212,5473,3.8735611182167
2018-12-01,99C,297,7670,3.8722294654498044
2018-09-01,08C,127,3284,3.8672350791717416
2018-01-01,08H,231,5984,3.860294117647059
2018-03-01,08H,223,5782,3.8567969560705637
2019-03-01,99C,277,7188,3.8536449638286037
2018-07-01,99C,278,7228,3.8461538461538463
2018-08-01,05X,211,5489,3.844051739843323
2017-04-01,07R,158,4114,3.840544482255712
2017-02-01,07Y,229,5964,3.839704896042924
2018-04-01,08C,140,3650,3.8356164383561646
2018-05-01,08H,216,5633,3.8345464228652584
2019-05-01,99C,276,7200,3.833333333333333
2017-09-01,07Y,227,5923,3.8325173054195507
2019-03-01,07Y,191,4987,3.82995789051534
2017-09-01,07R,165,4311,3.8274182324286707
2019-04-01,99C,262,6875,3.810909090909091
2017-09-01,05N,325,8574,3.790529507814323
2019-06-01,99C,256,6757,3.7886636081101077
2018-10-01,07R,176,4650,3.78494623655914
2018-06-01,08H,200,5306,3.769317753486619
2017-12-01,05X,236,6266,3.766358123204596
2019-07-01,08H,213,5674,3.7539654564681
2019-07-01,99C,255,6796,3.7522071806945263
2018-07-01,07R,166,4433,3.7446424543198735
2018-02-01,07R,152,4060,3.74384236453202
2017-07-01,05N,315,8436,3.733997155049787
2017-05-01,07R,174,4667,3.7283051210627813
2018-04-01,05X,207,5564,3.7203450754852625
2017-10-01,05X,223,6003,3.714809262035649
2018-10-01,08C,145,3909,3.709388590432336
2017-06-01,07R,167,4506,3.706169551708833
2018-11-01,08H,208,5620,3.7010676156583626
2018-09-01,07R,151,4084,3.6973555337904016
2017-08-01,05N,305,8263,3.691153334140143
2017-11-01,05N,333,9022,3.6909776102859677
2017-07-01,08K,217,5925,3.662447257383966
2017-04-01,05N,298,8179,3.6434771977014306
2018-08-01,05N,299,8222,3.6365847725614207
2017-10-01,05N,326,8965,3.6363636363636362
2017-03-01,07R,180,4967,3.6239178578618887
2017-09-01,09D,236,6514,3.6229659195578754
2018-07-01,05X,217,6001,3.616063989335111
2017-01-01,07R,180,4982,3.613006824568447
2017-03-01,08C,137,3793,3.6119166886369634
