pct,seven_day,all_QI,percent_7_day
RGP,14,14,1.0
110,14,14,1.0
14F,567,852,0.6654929577464789
DMH,70,138,0.5072463768115942
14A,1155,2401,0.48104956268221577
14G,385,833,0.46218487394957986
AH7,10234,23432,0.4367531580744281
13V,224,522,0.42911877394636017
ARF,1302,3242,0.40160394818013573
RRU,462,1229,0.37591537835638733
209,7,21,0.3333333333333333
R1J,2135,6935,0.30785868781542897
RJ1,2373,10747,0.22080580627151764
14K,98,465,0.210752688172043
AA8,7,35,0.2
414,42,210,0.2
13X,28,140,0.2
NNC,7,35,0.2
08V,7923972,51426647,0.1540829990335555
NKI,9275,60823,0.15249165611692944
14E,49,343,0.14285714285714285
AXG,133,973,0.1366906474820144
DL0,49,399,0.12280701754385964
RY4,6825,56104,0.12164908027948096
RX6,175,1490,0.1174496644295302
00P,7887796,69566331,0.11338525241470619
RCE,7,63,0.1111111111111111
NKB,1764,16228,0.10870101059896475
NVE,5551,51142,0.10854092526690391
08X,6231323,58206848,0.10705480908363223
NQV,462,4391,0.10521521293554999
08K,6305341,60621654,0.10401136531180756
112,5985,57891,0.10338394569104006
08C,3358649,34173173,0.09828320595222458
RXH,11550,118215,0.09770333713995685
08Q,5244792,53860705,0.0973769652662363
AD9,1148,11910,0.09638958858102435
13T,11727198,123136981,0.09523701088627469
RTQ,112,1255,0.08924302788844622
NV6,1771,20595,0.08599174556931294
99C,4340924,51953280,0.08355437808738929
08D,3976560,47708988,0.08335033222670747
07W,7234122,92250437,0.07841829518921412
07L,3256771,41973244,0.07759159620828926
00C,2155027,27913541,0.07720364105722022
NW0,2499,32486,0.07692544480699379
08M,5347804,69929218,0.07647452885859528
RWE,644,8656,0.0743992606284658
00D,6558412,89655483,0.07315126504867527
00J,4961040,69664713,0.07121309751179195
00N,2866836,40325325,0.07109269423123062
01G,4555194,65857962,0.06916694446147605
06A,4326049,64148573,0.06743796155839663
NR5,679,10253,0.06622451965278454
215,959,14555,0.06588801099278599
08P,2599583,40634568,0.06397466807079136
07Y,4220090,66007253,0.06393373164612683
R1L,70,1111,0.063006300630063
RY5,2660,42360,0.062795089707271
09D,3417015,54572126,0.06261465789329886
15C,14843353,243470936,0.060965605356690294
11E,2986634,49114796,0.060809251859663634
03A,3657472,60989623,0.059968758947731154
RY7,1323,22545,0.058682634730538925
08R,2276477,38802396,0.058668464699963375
RH5,147,2511,0.05854241338112306
09A,2015146,34624506,0.0581999928027854
08J,2346792,40554730,0.0578672820654952
02A,3416007,60928651,0.056065692312800425
NTP,5355,95765,0.05591813292956717
07X,3749396,67237544,0.05576342883672253
08T,2412753,43556126,0.05539411379239742
03J,2493722,45187080,0.055186615289149026
02W,1299172,24223204,0.05363336741085118
07P,3966312,76028292,0.052168895231790816
RWX,2569,49929,0.05145306334995694
RTK,84,1671,0.05026929982046679
02P,3902640,78045165,0.05000489139846139
07V,4222918,86371473,0.04889250875691329
02R,3786545,77837910,0.04864653997004802
12D,2689456,55422531,0.04852640165422976
RY1,21,434,0.04838709677419355
99D,2288986,47594065,0.04809393776303831
NFH,7,147,0.047619047619047616
AE8,42,902,0.04656319290465632
RYG,1232,26660,0.046211552888222054
15F,8384733,182025146,0.046063597169151566
