month,pct,s5_items,s3_items,s5_percent_items,s3_percent_items
2015-10-01,09A,74015,37333,0.02364509137934119,0.011926531060797739
2015-10-01,04C,281775,108499,0.03137106151366666,0.012079598272278658
2015-10-01,04M,71971,31382,0.03288168286818224,0.014337621705538274
2015-10-01,01R,137457,57834,0.029769221773198018,0.01252517639720883
2015-10-01,02P,411245,174381,0.041106096800462434,0.017430296456276525
2015-10-01,11A,291416,114709,0.02427713468563045,0.009556118547553954
2015-10-01,02A,134126,73765,0.020328040984056266,0.011179770836295054
2015-10-01,00Q,203920,73717,0.042793030057948545,0.01546966357778439
2015-10-01,00N,171838,107567,0.03057148926373874,0.019137113942391003
2015-10-01,04Y,163363,56156,0.04469168746048582,0.015362759015389296
2015-10-01,03F,293074,146073,0.03164029939064079,0.015770056207268717
2015-10-01,08N,132578,48688,0.02450591409566027,0.008999562110527444
2015-10-01,05W,364467,97061,0.04314179797204537,0.011489067742661738
2015-10-01,02X,463288,136023,0.045485440796558765,0.013354686746624805
2015-10-01,01D,251969,97735,0.04022435178543862,0.015602423400298623
2015-10-01,04H,129693,50079,0.034136680961679836,0.013181365577787272
2015-10-01,07J,208825,87129,0.03277123068074552,0.013673288916473968
2015-10-01,06D,122891,38947,0.04262912993436229,0.01351015716003294
2015-10-01,05N,292195,78019,0.036899276259203036,0.009852477401963626
2015-10-01,06Y,192802,60203,0.02881457787305487,0.008997437950288494
2015-10-01,08G,141353,63819,0.024575321893374052,0.01109543106911943
2015-10-01,10C,48676,23408,0.028626660150449342,0.01376639125650666
2015-10-01,03R,261738,171134,0.02471806888209899,0.016161589070250133
2015-10-01,01X,302427,97921,0.04633213683305834,0.015001600951072178
2015-10-01,02D,90167,42356,0.026674267572188142,0.012530252501331983
2015-10-01,05Q,211443,71053,0.03636878080999542,0.0122213125187053
2015-10-01,08C,85228,41404,0.0258051154853704,0.012536197042712208
2015-10-01,01Y,329969,106058,0.04496023370617498,0.014451031661790976
2015-10-01,07H,167582,75677,0.022159723444451072,0.010006930285506341
2015-10-01,10A,136261,82499,0.027292461839705934,0.016524176465121346
2015-10-01,08M,215733,59510,0.026030619246945733,0.007180552587623314
2015-10-01,00C,94801,51034,0.02810654878643547,0.01513053249192464
2015-10-01,99J,336757,114557,0.02728567356495735,0.009281959711545178
2015-10-01,08J,75310,35629,0.022405681778626153,0.010600080149922602
2015-10-01,05G,251693,70818,0.03993693058143251,0.011236917792373595
2015-10-01,07G,86010,32555,0.021174637211082894,0.008014653114833202
2015-10-01,07V,192276,86118,0.026208444616129898,0.011738432427613818
2015-10-01,99D,162986,61281,0.027047901134914572,0.01016972273353969
2015-10-01,02M,259871,79358,0.0410318895517425,0.012530096436490341
2015-10-01,05A,265256,118393,0.022799878666990656,0.010176380685153304
2015-10-01,03L,339640,108966,0.039808249041831244,0.012771598354411093
2015-10-01,07N,118463,60988,0.02463764076958337,0.012684132895970477
2015-10-01,08Q,142226,42599,0.027792075117899318,0.008324178476139334
2015-10-01,05D,125643,44237,0.03561992037022967,0.012541235225343632
2015-10-01,05R,158870,64260,0.022808374622994954,0.009225569039300408
2015-10-01,03N,624015,197257,0.035341419640895634,0.011171754547733868
2015-10-01,08R,83157,35571,0.022036283270264256,0.009426177377810284
2015-10-01,03D,148696,52818,0.031858217477284075,0.011316291835121256
2015-10-01,06Q,224046,91997,0.022308335072495168,0.009160172025674809
2015-10-01,05V,126526,47929,0.03332019233782524,0.012621939352857324
2015-10-01,02N,132869,49485,0.03187966684813604,0.011873087883404045
2015-10-01,08W,136675,48079,0.02951597047776676,0.010383013313338562
2015-10-01,09L,100787,37149,0.03032821589012307,0.011178652922521575
2015-10-01,05F,159576,61084,0.03202451247086806,0.012258643654249415
2015-10-01,15A,188601,105192,0.019164908283799693,0.010689206484533259
2015-10-01,04K,197673,100380,0.0285767031482615,0.014511488478560498
