month,pct,list_size
2014-11-01,,0
2014-11-01,00C,106624
2014-11-01,00D,288788
2014-11-01,00F,207474
2014-11-01,00G,161175
2014-11-01,00H,135366
2014-11-01,00J,249876
2014-11-01,00K,292290
2014-11-01,00L,322048
2014-11-01,00M,291392
2014-11-01,00N,155130
2014-11-01,00P,283859
2014-11-01,00Q,169912
2014-11-01,00R,171611
2014-11-01,00T,299393
2014-11-01,00V,197888
2014-11-01,00W,221865
2014-11-01,00X,177295
2014-11-01,00Y,244723
2014-11-01,01A,373122
2014-11-01,01C,205596
2014-11-01,01D,225267
2014-11-01,01E,210370
2014-11-01,01F,129491
2014-11-01,01G,257137
2014-11-01,01H,521217
2014-11-01,01J,161730
2014-11-01,01K,158371
2014-11-01,01M,197835
2014-11-01,01N,170721
2014-11-01,01R,178161
2014-11-01,01T,154758
2014-11-01,01V,122927
2014-11-01,01W,303082
2014-11-01,01X,194884
2014-11-01,01Y,242501
2014-11-01,02A,238008
2014-11-01,02D,102814
2014-11-01,02E,212611
2014-11-01,02F,257961
2014-11-01,02G,111978
2014-11-01,02H,322152
2014-11-01,02M,150893
2014-11-01,02N,157320
2014-11-01,02P,253912
2014-11-01,02Q,113443
2014-11-01,02R,337419
2014-11-01,02T,216918
2014-11-01,02V,208222
2014-11-01,02W,121848
2014-11-01,02X,311811
2014-11-01,02Y,301674
2014-11-01,03A,242700
2014-11-01,03C,366601
2014-11-01,03D,142668
2014-11-01,03E,161416
2014-11-01,03F,289262
2014-11-01,03G,268256
2014-11-01,03H,168655
2014-11-01,03J,188069
2014-11-01,03K,170587
2014-11-01,03L,258852
2014-11-01,03M,118520
2014-11-01,03N,588053
2014-11-01,03Q,348853
2014-11-01,03R,360420
2014-11-01,03T,244645
2014-11-01,03V,73088
2014-11-01,03W,322252
2014-11-01,03X,97287
2014-11-01,03Y,102363
2014-11-01,04C,375958
2014-11-01,04D,231118
2014-11-01,04E,187599
2014-11-01,04F,278392
2014-11-01,04G,650586
2014-11-01,04H,130092
2014-11-01,04J,290198
2014-11-01,04K,361530
2014-11-01,04L,148683
2014-11-01,04M,94272
2014-11-01,04N,123028
2014-11-01,04Q,131367
2014-11-01,04R,539899
2014-11-01,04V,373069
2014-11-01,04X,251012
2014-11-01,04Y,133482
2014-11-01,05A,482085
2014-11-01,05C,314413
2014-11-01,05D,137193
